unit_name,faction,Unit Type,health,save,ward,keywords,weapon_name,weapon_type,attacks,hit,wound,rend,damage,range,ability,Points,Unit Size,move,control,Loadout,Weapon Models,Bought With,warscroll_abilities,rules_source
Chaos Gargant,Beasts of Chaos,Monster,12,5,,"BEASTS OF CHAOS,CHAOS,MONSTER",Massive Club,melee,4,4,2,1,2,,-,140,1,8,5,Default,1,,"Whipped Into a Frenzy [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Timberrrrr! [Passive]",Beasts of Chaos - Library.cat#a95c-3447-894b-43a3
Chaos Gargant,Beasts of Chaos,Monster,12,5,,"BEASTS OF CHAOS,CHAOS,MONSTER",Mighty Kick,melee,1,4,2,2,2,,-,140,1,8,5,Default,1,,"Whipped Into a Frenzy [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Timberrrrr! [Passive]",Beasts of Chaos - Library.cat#a95c-3447-894b-43a3
Chaos Warhounds,Beasts of Chaos,Beast,2,6,,"CHAOS,BEASTS OF CHAOS,BEAST",Canine Jaws,melee,2,4,3,0,1,,Companion,130,10,10,1,Default,10,,Outrunners of Chaos [Activated · Reaction: You declared a Charge ability for this unit],Beasts of Chaos - Library.cat#7c3c-ad38-60b3-7c30
Chimera,Beasts of Chaos,Monster,12,5,,"BEASTS OF CHAOS,CHAOS,MONSTER,FLY",Brimstone Breath,ranged,6,2,4,0,1,12,"Shoot in Combat, Companion",200,1,10,5,Default,1,,"Thricefold Savagery [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Beasts of Chaos - Library.cat#92c9-1353-bc81-7814
Chimera,Beasts of Chaos,Monster,12,5,,"BEASTS OF CHAOS,CHAOS,MONSTER,FLY",Mauling Claws,melee,6,4,2,0,2,,"Crit (2 Hits), Companion",200,1,10,5,Default,1,,"Thricefold Savagery [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Beasts of Chaos - Library.cat#92c9-1353-bc81-7814
Chimera,Beasts of Chaos,Monster,12,5,,"BEASTS OF CHAOS,CHAOS,MONSTER,FLY",Chimeric Heads,melee,6,4,2,1,2,,Companion,200,1,10,5,Default,1,,"Thricefold Savagery [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Beasts of Chaos - Library.cat#92c9-1353-bc81-7814
Cockatrice,Beasts of Chaos,Beast,8,5,,"BEASTS OF CHAOS,CHAOS,BEAST",Stabbing Beak and Talons,melee,5,4,2,1,2,,Companion,150,1,12,1,Default,1,,"Petrifying Gaze [Activated · Once Per Turn (Army,) Your Shooting Phase]",Beasts of Chaos - Library.cat#a80a-b7c0-c7d5-9b9f
Cygor,Beasts of Chaos,Monster,15,5,,"BEASTS OF CHAOS,CHAOS,MONSTER",Desecrated Boulder,ranged,1,4,2,2,5,15,Shoot in Combat,170,1,8,5,Default,1,,"Consume Endless Spell [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Battle Damaged [Passive] | Soul-eater [Passive]",Beasts of Chaos - Library.cat#ce4c-4ffa-418c-adc6
Cygor,Beasts of Chaos,Monster,15,5,,"BEASTS OF CHAOS,CHAOS,MONSTER",Massive Horns,melee,6,4,2,1,2,,Anti-**^^Manifestation^^** (+1 Rend),170,1,8,5,Default,1,,"Consume Endless Spell [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Battle Damaged [Passive] | Soul-eater [Passive]",Beasts of Chaos - Library.cat#ce4c-4ffa-418c-adc6
Doombull,Beasts of Chaos,Hero,8,5,,"HERO,BEASTS OF CHAOS,INFANTRY,CHAOS,WARHERD",Slaughterer’s Axe,melee,4,4,2,1,3,,-,170,1,6,2,Default,1,,"Slaughterer's Call [Activated · Once Per Turn (Army), Any Charge Phase] | Alpha Charge [Activated · Any Charge Phase]",Beasts of Chaos - Library.cat#f8d6-201f-bb35-942c
Doombull,Beasts of Chaos,Hero,8,5,,"HERO,BEASTS OF CHAOS,INFANTRY,CHAOS,WARHERD",Alphabeast Horns,melee,2,4,2,0,2,,Charge (+1 Damage),170,1,6,2,Default,1,,"Slaughterer's Call [Activated · Once Per Turn (Army), Any Charge Phase] | Alpha Charge [Activated · Any Charge Phase]",Beasts of Chaos - Library.cat#f8d6-201f-bb35-942c
Dragon Ogor Shaggoth,Beasts of Chaos,Monster Hero,10,4,,"HERO,BEASTS OF CHAOS,CHAOS,MONSTER,WIZARD (1),THUNDERSCORN",Storm-forged Axe,melee,6,3,2,1,3,,Crit (Mortal),220,1,8,2,Default,1,,"Beneath the Tempest [Activated · Once Per Turn (Army), End of Any Turn · Rampage] | Scion of the Primordial Storm [Activated · Reaction: Opponent declared a Spell ability]",Beasts of Chaos - Library.cat#5f38-255a-16a0-e4dc
Dragon Ogor Shaggoth,Beasts of Chaos,Monster Hero,10,4,,"HERO,BEASTS OF CHAOS,CHAOS,MONSTER,WIZARD (1),THUNDERSCORN",Crackling Bolts,ranged,6,4,3,1,1,12,"Crit (2 Hits), Shoot in Combat",220,1,8,2,Default,1,,"Beneath the Tempest [Activated · Once Per Turn (Army), End of Any Turn · Rampage] | Scion of the Primordial Storm [Activated · Reaction: Opponent declared a Spell ability]",Beasts of Chaos - Library.cat#5f38-255a-16a0-e4dc
Dragon Ogors,Beasts of Chaos,Cavalry,5,4,,"CHAOS,BEASTS OF CHAOS,THUNDERSCORN,CAVALRY",Storm-forged Weapons,melee,4,4,2,1,2,,Crit (Mortal),200,3,8,2,Default,3,,Speed of an Avalanche [Activated · Any Combat Phase],Beasts of Chaos - Library.cat#9bbe-6fe3-2117-7dca
Dragon Ogors,Beasts of Chaos,Cavalry,5,4,,"CHAOS,BEASTS OF CHAOS,THUNDERSCORN,CAVALRY",Raking Foreclaws,melee,2,5,3,0,1,,-,200,3,8,2,Default,3,,Speed of an Avalanche [Activated · Any Combat Phase],Beasts of Chaos - Library.cat#9bbe-6fe3-2117-7dca
Ghorgon,Beasts of Chaos,Monster,15,5,,"BEASTS OF CHAOS,CHAOS,MONSTER",Butchering Blades,melee,7,4,2,1,3,,Anti-**^^Infantry^^**(+1 Rend),180,1,8,5,Default,1,,"Swallow Whole [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Battle Damaged [Passive]",Beasts of Chaos - Library.cat#de53-89d8-87aa-d8d1
Ghorgon,Beasts of Chaos,Monster,15,5,,"BEASTS OF CHAOS,CHAOS,MONSTER",Huge Slavering Maw,melee,2,4,2,1,3,,-,180,1,8,5,Default,1,,"Swallow Whole [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Battle Damaged [Passive]",Beasts of Chaos - Library.cat#de53-89d8-87aa-d8d1
Gors,Beasts of Chaos,Infantry,1,5,,"CHAOS,INFANTRY,CHAMPION,STANDARD BEARER (1/10),MUSICIAN (1/10),BEASTS OF CHAOS,BRAYHERD",Hacking Blades,melee,2,4,3,0,1,,Crit (2 Hits),100,10,6,1,Default,10,,Gor Stampede [Activated · Your Charge Phase],Beasts of Chaos - Library.cat#2497-0d67-1bcc-e895
Grashrak's Despoilers,Beasts of Chaos,,2,6,,"INFANTRY,UNIQUE,CHAMPION,BEASTS OF CHAOS,BRAYHERD",Despoiler Weapons,melee,2,4,4,0,1,,-,100,6,8,1,Default,6,,Grashrak Fellhoof [Passive] | Violent Despoilers [Passive],Beasts of Chaos - Library.cat#c675-1d79-171f-4047
Grashrak's Despoilers,Beasts of Chaos,,2,6,,"INFANTRY,UNIQUE,CHAMPION,BEASTS OF CHAOS,BRAYHERD",Despoiler Shortbow,ranged,2,4,4,0,1,15,-,100,6,8,1,Default,2,,Grashrak Fellhoof [Passive] | Violent Despoilers [Passive],Beasts of Chaos - Library.cat#c675-1d79-171f-4047
Great Bray-Shaman,Beasts of Chaos,Hero,5,5,,"HERO,BEASTS OF CHAOS,BRAYHERD,WIZARD (1),INFANTRY,CHAOS",Fetish Staff,melee,3,4,3,0,2,,-,140,1,6,2,Default,1,,"Infuse with Bestial Vigour [Activated · Once Per Turn (Army), Your Movement Phase]",Beasts of Chaos - Library.cat#dbb1-5ebf-28ce-eb6e
Jabberslythe,Beasts of Chaos,Monster,12,4,,"BEASTS OF CHAOS,CHAOS,MONSTER",Slythey Tongue,ranged,3,4,2,1,2,8,"Shoot in Combat, Companion",190,1,10,5,Default,1,,"Aura of Madness [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Beasts of Chaos - Library.cat#e692-609a-09fa-d49b
Jabberslythe,Beasts of Chaos,Monster,12,4,,"BEASTS OF CHAOS,CHAOS,MONSTER",Vorpal Claws and Tail,melee,6,4,2,1,2,,Companion,190,1,10,5,Default,1,,"Aura of Madness [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Beasts of Chaos - Library.cat#e692-609a-09fa-d49b
Ravening Direflock,Beasts of Chaos,,1,6,6,"WARD (6+),MANIFESTATION,ENDLESS SPELL,CHAOS,BEASTS OF CHAOS,FLY",Murderous Beaks,melee,6,4,5,1,1,,-,,1,,,,,,Multiple Parts [Passive] | Harbingers of Dark Omens [Passive],Beasts of Chaos - Library.cat#26b3-4020-3cb9-1970
Razorgor,Beasts of Chaos,Beast,4,5,,"BEASTS OF CHAOS,CHAOS,BEAST",Large Tusks and Hooves,melee,5,4,2,0,2,,Charge (+1 Damage),70,1,10,1,Default,1,,Feed on Mangled Remains [Passive],Beasts of Chaos - Library.cat#5efa-c95d-80d7-bec9
Tuskgor Chariots,Beasts of Chaos,War Machine,7,4,,"BEASTS OF CHAOS,BRAYHERD,CHAOS,WAR MACHINE",Despoiler Weapons,melee,4,4,3,1,1,,Crit (2 Hits),110,1,10,2,Default,1,,Tuskgor Charge [Activated · Any Charge Phase],Beasts of Chaos - Library.cat#21de-ca00-a110-b175
Tuskgor Chariots,Beasts of Chaos,War Machine,7,4,,"BEASTS OF CHAOS,BRAYHERD,CHAOS,WAR MACHINE",Tuskgors’ Iron-hard Tusks,melee,4,5,3,1,1,,Companion,110,1,10,2,Default,1,,Tuskgor Charge [Activated · Any Charge Phase],Beasts of Chaos - Library.cat#21de-ca00-a110-b175
Ungor Raiders,Beasts of Chaos,Infantry,1,6,,"CHAOS,INFANTRY,CHAMPION,STANDARD BEARER (1/10),MUSICIAN (1/10),BEASTS OF CHAOS,BRAYHERD",Raider Bow,ranged,2,4,5,0,1,18,-,90,10,6,1,Default,10,,"Hidden Volley [Activated · Once Per Turn (Army), Your Hero Phase]",Beasts of Chaos - Library.cat#3771-efac-15d0-cc5b
Ungor Raiders,Beasts of Chaos,Infantry,1,6,,"CHAOS,INFANTRY,CHAMPION,STANDARD BEARER (1/10),MUSICIAN (1/10),BEASTS OF CHAOS,BRAYHERD",Jagged Shank,melee,1,4,5,0,1,,Crit (2 Hits),90,10,6,1,Default,10,,"Hidden Volley [Activated · Once Per Turn (Army), Your Hero Phase]",Beasts of Chaos - Library.cat#3771-efac-15d0-cc5b
Ungors,Beasts of Chaos,Infantry,1,5,,"CHAOS,INFANTRY,CHAMPION,STANDARD BEARER (1/10),MUSICIAN (1/10),BEASTS OF CHAOS,BRAYHERD",Gnarled Weapon,melee,2,4,5,0,1,,Crit (2 Hits),90,10,6,1,Default,10,,"Fleet of Hoof [Activated · Once Per Turn (Army), Any Combat Phase]",Beasts of Chaos - Library.cat#920d-c7ac-1a68-8337
Wildfire Taurus,Beasts of Chaos,,1,6,6,"WARD (6+),MANIFESTATION,ENDLESS SPELL,CHAOS,BEASTS OF CHAOS,FLY",Taurine Horns,melee,6,4,2,2,D3,,Charge (+1 Damage),,1,,,,,,Trail of Destruction [Activated · Any Charge Phase],Beasts of Chaos - Library.cat#342e-5191-631c-915f
Blood Warriors,Blades of Khorne,Infantry,2,3,,"CHAMPION,INFANTRY,CHAOS,BLADES OF KHORNE,BLOODBOUND,STANDARD BEARER (1/10)",Goreweapons,melee,3,4,3,1,1,,"Blood-hungry, Crit (Auto-wound)",180,10,5,1,Default,10,,No Respite [Passive],Blades of Khorne - Library.cat#560e-1939-d927-c961
Bloodcrushers,Blades of Khorne,Cavalry,5,4,6,"WARD (6+),CHAOS,DAEMON,CHAMPION,MUSICIAN (1/3),STANDARD BEARER (1/3),CAVALRY,BLADES OF KHORNE",Bloodcrusher Hellblade,melee,3,3,3,1,1,,"Blood-hungry, Crit (Mortal)",130,3,10,2,Default,3,,Crushing Onslaught [Passive],Blades of Khorne - Library.cat#713c-ba47-3b7f-b1d3
Bloodcrushers,Blades of Khorne,Cavalry,5,4,6,"WARD (6+),CHAOS,DAEMON,CHAMPION,MUSICIAN (1/3),STANDARD BEARER (1/3),CAVALRY,BLADES OF KHORNE",Juggernaut’s Brazen Hooves,melee,2,4,3,1,2,,"Anti-**^^Cavalry^^** (+1 Rend), Companion",130,3,10,2,Default,3,,Crushing Onslaught [Passive],Blades of Khorne - Library.cat#713c-ba47-3b7f-b1d3
Bloodletters,Blades of Khorne,Infantry,2,5,6,"WARD (6+),CHAOS,DAEMON,INFANTRY,CHAMPION,STANDARD BEARER (1/10),MUSICIAN (1/10),BLADES OF KHORNE",Hellblade,melee,2,3,3,1,1,,"Blood-hungry, Crit (Mortal)",150,10,5,1,Default,10,,"Ceaseless Violence [Activated · Once Per Turn (Army), Any Combat Phase]",Blades of Khorne - Library.cat#ceca-2c22-4282-1f0d
"Bloodmaster, Herald of Khorne",Blades of Khorne,Infantry Hero,6,4,6,"HERO,CHAOS,DAEMON,BLADES OF KHORNE,INFANTRY,WARD (6+),PRIEST (1)",Blade of Blood,melee,5,3,3,2,2,,"Blood-hungry, Crit (2 Hits)",120,1,5,2,Default,1,,The Blood Must Flow [Activated · Reaction: You declared a Fight ability for this unit],Blades of Khorne - Library.cat#2724-10df-1094-e344
Bloodreavers,Blades of Khorne,Infantry,1,6,,"CHAOS,INFANTRY,CHAMPION,STANDARD BEARER (1/10),MUSICIAN (1/10),BLOODBOUND,BLADES OF KHORNE",Reaver Blades and Axes,melee,2,4,3,0,1,,Blood-hungry,80,10,5,1,Default,10,,Blood for the Blood God! [Passive],Blades of Khorne - Library.cat#187b-b09b-5efa-c1e5
Bloodsecrator,Blades of Khorne,Infantry Hero,6,3,,"HERO,CHAOS,BLADES OF KHORNE,INFANTRY,BLOODBOUND",Ensorcelled Axe,melee,4,3,3,1,2,,Blood-hungry,110,1,5,5,Default,1,,"Icon of the Blood God [Passive] | Rage of Khorne [Activated · Once Per Battle (Army), Any Combat Phase]",Blades of Khorne - Library.cat#9943-f207-9aef-190c
Bloodstoker,Blades of Khorne,Infantry Hero,5,4,,"HERO,CHAOS,BLADES OF KHORNE,INFANTRY,BLOODBOUND",Torture Blade and Blood Whip,melee,4,3,4,1,2,,Blood-hungry,100,1,5,2,Default,1,,"Whipped to Fury [Activated · Once Per Turn (Army), Your Movement Phase]",Blades of Khorne - Library.cat#bed-461e-b0ef-6bc3
Bloodthirster of Insensate Rage,Blades of Khorne,Monster Hero,16,4,5,"HERO,CHAOS,DAEMON,MONSTER,WARD (5+),FLY,BLADES OF KHORNE,BLOODTHIRSTER",Great Axe of Khorne,melee,5,3,2,2,5,,"Anti-**^^Infantry^^** (+1 Rend), Blood-hungry",410,1,12,5,Default,1,,"Battle Damaged [Passive] | Shattering Charge [Activated · Once Per Turn (Army), Any Charge Phase · Rampage] | Outrageous Carnage [Passive]",Blades of Khorne - Library.cat#ac0a-f4e1-99b-9562
Bloodthirster of Unfettered Fury,Blades of Khorne,Monster Hero,16,4,5,"HERO,CHAOS,DAEMON,MONSTER,WARD (5+),FLY,BLADES OF KHORNE,BLOODTHIRSTER",Mighty Axe of Khorne,melee,6,3,2,2,4,,"Anti-**^^Monster^^** (+1 Rend), Blood-hungry",390,1,12,5,Default,1,,"Battle Damaged [Passive] | Ensnaring Lash [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Beckon the Hunt [Activated · Once Per Turn (Army), Your Movement Phase]",Blades of Khorne - Library.cat#9aae-e077-190b-d63b
Bloodthirster of Unfettered Fury,Blades of Khorne,Monster Hero,16,4,5,"HERO,CHAOS,DAEMON,MONSTER,WARD (5+),FLY,BLADES OF KHORNE,BLOODTHIRSTER",Lash of Khorne,ranged,4,3,3,1,2,8,Shoot in Combat,390,1,12,5,Default,1,,"Battle Damaged [Passive] | Ensnaring Lash [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Beckon the Hunt [Activated · Once Per Turn (Army), Your Movement Phase]",Blades of Khorne - Library.cat#9aae-e077-190b-d63b
Claws of Karanak,Blades of Khorne,Infantry,1,5,,"CHAOS,INFANTRY,CHAMPION (1/8),BLOODBOUND,BLADES OF KHORNE",Weapons of the Hunt,melee,3,4,3,0,1,,"Blood-hungry, Crit (2 Hits)",100,8,6,1,Default,8,,The Scent of Blood [Activated · Deployment Phase] | Pack Hunters [Passive],Blades of Khorne - Library.cat#e7fd-3790-fce1-2de9
Deathbringer,Blades of Khorne,Infantry Hero,6,3,,"HERO,CHAOS,BLADES OF KHORNE,INFANTRY,BLOODBOUND",Kingslayer Axe,melee,4,3,3,1,3,,"Blood-hungry, Crit (2 Hits)",120,1,5,2,Default,1,,"Trophies of Glorious Deaths [Activated · Reaction: Opponent declared a command for a unit within 8"" of this unit] | Killer of Kings [Activated · Once Per Turn (Army), End of Any Turn]",Blades of Khorne - Library.cat#9c54-dbf9-f5be-a8b3
Flesh Hounds,Blades of Khorne,Beast,2,6,6,"WARD (6+),BEAST,CHAMPION (1/5),CHAOS,DAEMON,BLADES OF KHORNE",Blood-dark Claws,melee,4,4,3,0,1,,"Blood-hungry, Companion",100,5,8,1,Default,5,,Hunters of Mystics [Passive],Blades of Khorne - Library.cat#4c6b-352c-715-cda7
Garrek's Reavers,Blades of Khorne,,2,6,,"INFANTRY,UNIQUE,CHAMPION,BLADES OF KHORNE,BLOODBOUND,CHAOS",Reaver Blades and Axes,melee,2,4,3,0,1,,-,70,5,5,1,Default,5,,Blood for the Blood God! [Passive] | Grisly Trophies [Activated · End of Any Turn],Blades of Khorne - Library.cat#94e7-4cd1-fb6e-77b2
Gorechosen of Dromm,Blades of Khorne,,3,4,,"INFANTRY,UNIQUE,CHAMPION,BLADES OF KHORNE,BLOODBOUND,CHAOS",Weapons of Wrath,melee,4,4,3,1,2,,Crit (Mortal),190,3,5,1,Default,3,,Grisly Trophies [Passive],Blades of Khorne - Library.cat#a5a3-d0d5-fc50-9020
Herald of Khorne on Blood Throne,Blades of Khorne,War Machine Hero,10,4,6,"HERO,CHAOS,DAEMON,BLADES OF KHORNE,PRIEST (1),WAR MACHINE,WARD (6+)",Blade of Blood and Hellblades,melee,7,3,3,1,2,,"Blood-hungry, Crit (Mortal)",160,1,8,2,Default,1,,"Blood Marked [Passive] | Offering of Blood [Activated · Once Per Turn (Army), Your Hero Phase]",Blades of Khorne - Library.cat#1c5f-4b09-e2da-7a0c
Hexgorger Skulls,Blades of Khorne,,1,6,6,"WARD (6+),MANIFESTATION,INVOCATION,FLY,CHAOS,BLADES OF KHORNE",Stream of Molten Blood,melee,2,4,3,0,2,,-,,1,,,,,,Hexgorgers [Passive] | Multiple Parts [Passive],Blades of Khorne - Library.cat#8499-3fb6-56fa-7b71
Kamandora's Blades,Blades of Khorne,,2,6,,"INFANTRY,UNIQUE,CHAMPION,BLADES OF KHORNE,BLOODBOUND,CHAOS",Bloodied Weapons,melee,2,4,3,0,1,,Blood-hungry,90,4,6,1,Default,4,,"Khornate Hound [Passive] | Gather the Skulls [Activated · Once Per Turn (Army), End of Any Turn]",Blades of Khorne - Library.cat#44b3-c646-68ef-8dad
Karanak,Blades of Khorne,Beast Hero,7,5,6,"HERO,UNIQUE,CHAOS,DAEMON,BLADES OF KHORNE,BEAST,WARD (6+)",Savage Maws and Goreslick Claws,melee,6,4,3,1,2,,"Anti-**^^Hero^^** (+1 Rend), Blood-hungry",110,1,8,2,Default,1,,"Prey of the Blood God [Activated · Once Per Turn, Your Movement Phase] | Stalk the Prey [Activated · Your Movement Phase · Core] | First of the Pack [Passive]",Blades of Khorne - Library.cat#182c-a6ee-9890-fe8e
Khorgorath,Blades of Khorne,Monster,8,5,,"CHAOS,BLADES OF KHORNE,MONSTER,BLOODBOUND",Claws and Fangs,melee,5,4,2,1,2,,Companion,120,1,8,2,Default,1,,"Horrific Predators [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Feast Upon Their Bones [Activated · End of Any Turn]",Blades of Khorne - Library.cat#56a4-8ffd-c124-2c3f
Khorgos Khul,Blades of Khorne,,8,3,6,"HERO,CHAOS,BLADES OF KHORNE,INFANTRY,BLOODBOUND,WARMASTER,UNIQUE,WARD (6+)",Axe of Khorne,melee,6,3,3,2,2,,"Crit (Mortal), Blood-hungry",220,1,5,2,Default,1,,"Retinue of Blood [Activated · Once Per Battle, Any Charge Phase] | Master of the Goretide [Activated · Once Per Turn (Army), Your Movement Phase] | Reality-Splitting Axe [Activated · End of Any Turn]",Blades of Khorne - Library.cat#9340-45e2-8463-cfb9
Khorgos Khul,Blades of Khorne,,8,3,6,"HERO,CHAOS,BLADES OF KHORNE,INFANTRY,BLOODBOUND,WARMASTER,UNIQUE,WARD (6+)",Grizzlemaw’s Blood-dark Claws,melee,4,4,3,0,1,,"Anti-**^^Wizard^^** (+1 Rend), Companion",220,1,5,2,Default,1,,"Retinue of Blood [Activated · Once Per Battle, Any Charge Phase] | Master of the Goretide [Activated · Once Per Turn (Army), Your Movement Phase] | Reality-Splitting Axe [Activated · End of Any Turn]",Blades of Khorne - Library.cat#9340-45e2-8463-cfb9
Khul Ascended,Blades of Khorne,,10,3,5,"HERO,CHAOS,BLADES OF KHORNE,WARMASTER,UNIQUE,INFANTRY,DAEMON,WARD (5+)",Axe of Khorne,melee,6,3,3,2,3,,"Crit (Mortal), Blood-hungry",310,1,10,5,Default,1,,"Loathe the Arcane [Activated · Reaction: Opponent declared a Spell ability] | Ascended Warlord [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Reality-Splitting Axe [Activated · End of Any Turn]",Blades of Khorne - Library.cat#9341-45e2-8463-cfb7
Lord of Khorne on Juggernaut,Blades of Khorne,Cavalry Hero,8,2,,"HERO,CHAOS,BLADES OF KHORNE,BLOODBOUND,CAVALRY",Wrathforged Axe,melee,6,3,3,1,2,,Blood-hungry,200,1,8,2,Default,1,,Lord of the Brass Stampede [Passive] | Slaughterous Charge [Activated · Any Charge Phase],Blades of Khorne - Library.cat#ce66-7711-3047-4195
Lord of Khorne on Juggernaut,Blades of Khorne,Cavalry Hero,8,2,,"HERO,CHAOS,BLADES OF KHORNE,BLOODBOUND,CAVALRY",Juggernaut’s Brazen Hooves,melee,2,4,3,1,2,,Companion,200,1,8,2,Default,1,,Lord of the Brass Stampede [Passive] | Slaughterous Charge [Activated · Any Charge Phase],Blades of Khorne - Library.cat#ce66-7711-3047-4195
Magore's Fiends,Blades of Khorne,,3,3,,"INFANTRY,UNIQUE,CHAMPION,BLADES OF KHORNE,BLOODBOUND,CHAOS",Goreaxe,melee,3,4,3,1,1,,-,120,4,5,1,Default,3,,No Respite [Passive],Blades of Khorne - Library.cat#e17c-89f4-8d3a-a652
Magore's Fiends,Blades of Khorne,,3,3,,"INFANTRY,UNIQUE,CHAMPION,BLADES OF KHORNE,BLOODBOUND,CHAOS",Blood-dark Claws,melee,4,4,3,0,1,,"Anti-**^^Wizard^^** (+1 Rend), Companion",120,4,5,1,Default,1,,No Respite [Passive],Blades of Khorne - Library.cat#e17c-89f4-8d3a-a652
