id,unit_name,army,category,troop_type,points,points_per_model,min_models,M,WS,BS,S,T,W,I,A,Ld,armour,shield,ward,regeneration,weapon,weapon_S,weapon_AP,weapon_rules,armour_bane,cleaving_blow,poisoned,requires_two_hands,fight_in_extra_rank,extra_attacks,horde,stubborn,unbreakable,unstable,indomitable,hatred,frenzy,named,mounts,special_rules
primal-warhounds,Primal Warhounds,Beastmen Brayherds,core,War Beast,60,6,10,7,4,0,3,3,1,3,1,5,,,,,Hand Weapon,S,0,,,,,,,,yes,,,,,,,,,"Close Order, Horde, Motley Crew, Move Through Cover, Swiftstride, Warband"
razorgor-herd,Razorgor Herd,Beastmen Brayherds,core,War Beast,52,52,1,7,3,0,5,5,3,2,4,6,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Armour Bane (1), Fear, Foe Render, Impact Hits (D3), Loner, Open Order, Primal Fury, Razor Tusks, Swiftstride"
centigor-herd,Centigor Herd,Beastmen Brayherds,core,Light Cavalry,85,17,5,8,4,3,4,4,1,2,1,6,,yes,,,Hand Weapon,S,0,,,,,,,,yes,,,,,,,,,"Drunken, Fast Cavalry, Horde, Mark of Chaos Undivided, Move Through Cover, Open Order, Primal Fury, Skirmishers, Stomp Attacks (1), Swiftstride, Warband"
tuskgor-chariot,Tuskgor Chariot,Beastmen Brayherds,core,Heavy Chariot,85,85,1,,4,3,4,4,4,4,1,7,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,WS4 S3 I3 A1 | WS3 S4 I2 A1,"Close Order, First Charge, Impact Hits (D6+1), Mark of Chaos Undivided, Primal Fury, Razor Tusks, Warband"
minotaur-herd,Minotaur Herd,Beastmen Brayherds,core,Monstrous Infantry,88,44,2,6,4,3,5,4,3,3,3,7,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Blood Greed, Blood Rage, Bull-gors, Close Order, Fear, Foe Render, Impact Hits (1), Mark of Chaos Undivided, Motley Crew, Primal Fury, Warband"
harpies,Harpies,Beastmen Brayherds,special,Regular Infantry,55,11,5,5,3,0,3,3,1,5,2,6,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Fly (10), Move Through Cover, Scouts, Skirmishers, Swiftstride"
cockatrice,Cockatrice,Beastmen Brayherds,special,Monstrous Creature,155,155,1,4,4,5,4,5,4,6,6,6,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Close Order, Fly (10), Large Target, Stomp Attacks (1), Stony Stare, Swiftstride, Terror"
centigor-herd,Centigor Herd,Beastmen Brayherds,special,Light Cavalry,85,17,5,8,4,3,4,4,1,2,1,6,,yes,,,Hand Weapon,S,0,,,,,,,,yes,,,,,,,,,"Drunken, Fast Cavalry, Horde, Mark of Chaos Undivided, Move Through Cover, Open Order, Primal Fury, Skirmishers, Stomp Attacks (1), Swiftstride, Warband"
dragon-ogres,Dragon Ogres,Beastmen Brayherds,special,Monstrous Cavalry,118,59,2,7,4,2,5,4,4,2,3,8,4,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Armour Bane (1), Armoured Hide (2), Close Order, Fear, Ensorcelled Weapons, Immune to Psychology, Stomp Attacks (2), The Quickening Storm"
razorgor-chariot,Razorgor Chariot,Beastmen Brayherds,special,Heavy Chariot,120,120,1,,4,3,4,5,4,4,1,7,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,WS4 S3 I3 A1 | WS3 S5 I2 A4,"Armour Bane (1 - Razorgor only), Close Order, Fear, First Charge, Foe Render (Razorgor only), Impact Hits (D6+2), Mark of Chaos Undivided, Primal Fury, Razor Tusks"
chaos-ogres,Chaos Ogres,Beastmen Brayherds,special,Monstrous Infantry,93,31,3,6,3,2,4,4,3,2,3,7,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Armour Bane (1), Close Order, Fear, Impact Hits (1), Ogre Charge"
jabberslythe,Jabberslythe,Beastmen Brayherds,special,Monstrous Creature,185,185,1,6,5,4,5,5,5,3,5,9,5,,,,Wicked Claws,S,-2,,,,yes,,,,,,,,,,,,,"Close Order, Fly (9), Large Target, Maddening Aura, Poisoned Attacks, Spurting Bile Blood, Stomp Attacks (D3), Swiftstride, Terror"
cygor,Cygor,Beastmen Brayherds,special,Behemoth,205,205,1,7,2,1,6,6,6,3,4,8,6,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Close Order, Ghostsight, Immune to Psychology, Large Target, Soul-eater, Stomp Attacks (D3), Stubborn, Terror, Timmm-berrr!"
ghorgon,Ghorgon,Beastmen Brayherds,special,Behemoth,245,245,1,7,4,0,6,7,6,4,5,9,6,,,6,Cleaver-limbs,S,-2,"Killing Blow, Monster Slayer",,,,,,,,yes,,,,,yes,,,"Blood Greed, Close Order, Frenzy, Large Target, Primal Fury, Regeneration (6+), Stomp Attacks (D3), Stubborn, Swallow Whole, Terror, Timmm-berrr!"
herdstone,Herdstone,Beastmen Brayherds,special,,100,100,1,,,,,,,,,,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"A Tingle in the Air, Bestial Fury {beastmen}, Dark Sorcery, Fearsome Edifice"
preyton,Preyton,Beastmen Brayherds,special,Monstrous Creature,160,160,1,6,5,0,5,5,5,5,4,6,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Close Order, Crown of Antlers {beastmen}, Endless Malice, Fly (10), Impact Hits (D3), Large Target, Terror"
warped-gors,Warped Gors,Beastmen Brayherds,special,Regular Infantry,80,16,5,5,4,2,3,4,1,3,,7,6,yes,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Armoured Hide (1), Blessing of Chaos, Blood Rage, Mark of Chaos Undivided, Move Through Cover, Open Order, Primal Fury, Random Attacks, Stubborn, Warband, Furious Charge"
tuskgor-chariot,Tuskgor Chariot,Beastmen Brayherds,special,Heavy Chariot,85,85,1,,4,3,4,4,4,4,1,7,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,WS4 S3 I3 A1 | WS3 S4 I2 A1,"Close Order, First Charge, Impact Hits (D6+1), Mark of Chaos Undivided, Primal Fury, Razor Tusks, Warband"
dragon-ogre-shaggoth,Dragon Ogre Shaggoth,Beastmen Brayherds,rare,Monstrous Creature,225,225,1,7,6,2,6,5,6,4,5,9,4,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Armour Bane (2), Armoured Hide (2), Close Order, Ensorcelled Weapons, Immune to Psychology, Large Target, Stomp Attacks (D3+1), Storm Call {warriors}, Terror, The Quickening Storm"
chaos-giant,Chaos Giant,Beastmen Brayherds,rare,Behemoth,200,200,1,6,3,1,6,7,6,2,,10,6,,,,Giant's Club,S,0,,,,,,,,,,yes,,,,,,,"Close Order, Giant Attacks, Immune to Psychology, Large Target, Pick Up And..., Stomp Attacks (D6), Terror, Timmm-berrr!, Unbreakable"
chaos-trolls,Chaos Trolls,Beastmen Brayherds,rare,Monstrous Infantry,39,39,1,6,3,1,5,4,3,2,3,6,6,,,5,Troll Vomit,3,-2,,,,,,,,,,,,,,,,,"Armour Bane (1), Close Order, Fear, Flammable, Regeneration (5+), Stupidity, Motley Crew"
chaos-spawn,Chaos Spawn,Beastmen Brayherds,rare,Monstrous Infantry,50,50,1,,3,0,4,5,3,3,,10,5,,,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,,"Armour Bane (2), Fear, Immune to Psychology, Open Order, Random Attacks, Random Movement, Stomp Attacks (1), Unbreakable"
gigantic-spawn-of-chaos,Gigantic Spawn of Chaos,Beastmen Brayherds,rare,Behemoth,145,145,1,,3,0,6,6,6,3,,10,5,,,,Gnashing Maws,S,-2,Strike Last,,,,,,,,,yes,,,,,,,"Armour Bane (2), Close Order, First Charge, Immune to Psychology, Large Target, Random Attacks, Random Movement, Stomp Attacks (D6), Terror, Timmm-berrr!, Unbreakable"
sorcerer-prophet,Sorcerer-Prophet,Chaos Dwarfs,characters,Heavy Infantry,195,195,1,3,5,4,4,5,3,2,3,10,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Blackshard Armour, Ensorcelled Weapons, Infernal Engineer, Lore of Hashut, Resolute, Sorcerer's Curse, Stubborn"
daemonsmith-sorcerer,Daemonsmith Sorcerer,Chaos Dwarfs,characters,Heavy Infantry,85,85,1,3,4,4,4,4,2,2,2,9,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Blackshard Armour, Ensorcelled Weapons, Infernal Engineer, Lore of Hashut, Resolute, Sorcerer's Curse, Stubborn"
infernal-castellan,Infernal Castellan,Chaos Dwarfs,characters,Heavy Infantry,125,125,1,3,6,4,5,5,3,3,4,10,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Blackshard Armour, Ensorcelled Weapons, Rallying Cry, Resolute, Stubborn"
infernal-castellan,Castellan,Chaos Dwarfs,characters,Heavy Infantry,75,75,1,3,6,4,5,5,3,3,4,10,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Blackshard Armour, Ensorcelled Weapons, Rallying Cry, Resolute, Stubborn, Eternal Taskmaster, Quell Panic"
infernal-seneschal,Infernal Seneschal,Chaos Dwarfs,characters,Heavy Infantry,60,60,1,3,5,4,4,5,2,2,3,9,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Blackshard Armour, Ensorcelled Weapons, Rallying Cry, Resolute, Stubborn"
infernal-seneschal,Seneschal,Chaos Dwarfs,characters,Heavy Infantry,65,65,1,3,5,4,4,5,2,2,3,9,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Blackshard Armour, Ensorcelled Weapons, Rallying Cry, Relentless March, Resolute, Stubborn"
bull-centaur-taurruk,Bull Centaur Taur'ruk,Chaos Dwarfs,characters,Monstrous Cavalry,145,145,1,7,5,2,5,5,4,4,4,9,4,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Armour Bane (1), Armoured Hide (1), Blackshard Armour, Ensorcelled Weapons, Fear, First Charge, Impact Hits (D3+1), Loner, Stampede, Stubborn, Swiftstride"
hobgoblin-khan,Hobgoblin Khan,Chaos Dwarfs,characters,Regular Infantry,45,45,1,4,5,4,4,4,2,5,3,7,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Backstab, Evasive, Levies, Warband"
black-orc-warboss,Black Orc Warboss,Chaos Dwarfs,characters,Heavy Infantry,135,135,1,4,7,3,5,5,3,6,4,9,4,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Choppas, Da Boyz, Furious Charge, Ignore Panic, Quell Impetuosity, Rallying Cry, Waaagh!"
black-orc-bigboss,Black Orc Bigboss,Chaos Dwarfs,characters,Heavy Infantry,75,75,1,4,6,3,4,5,2,5,3,8,4,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Choppas, Da Boyz, Furious Charge, Ignore Panic, Quell Impetuosity, Rallying Cry, Waaagh!"
hobgoblin-wolf-riders,Hobgoblin Wolf Riders,Chaos Dwarfs,core,Light Cavalry,60,12,5,,3,3,3,3,1,3,1,6,6,yes,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,WS3 S3 I3 A1,"Backstab, Evasive, Fast Cavalry, Fire & Flee, Levies, Open Order, Skirmishers, Swiftstride"
infernal-guard,Infernal Guard,Chaos Dwarfs,core,Heavy Infantry,110,11,10,3,4,3,4,4,1,2,1,9,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Close Order, Detachment, Regimental Unit, Resolute, Shieldwall, Stubborn"
hobgoblin-cutthroats,Hobgoblin Cutthroats,Chaos Dwarfs,core,Regular Infantry,30,3,10,4,3,3,3,3,1,3,1,4,6,yes,,,Hand Weapon,S,0,,,,,,,,yes,,,,,,,,,"Backstab, Close Order, Horde, Levies, Warband"
black-orc-mob,Black Orc Mob,Chaos Dwarfs,core,Heavy Infantry,60,12,5,4,4,3,4,4,1,3,1,8,4,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Choppas, Close Order, Da Boyz, Furious Charge, Ignore Panic, Motley Crew, Quell Impetuosity"
infernal-ironsworn,Infernal Ironsworn,Chaos Dwarfs,core,Heavy Infantry,80,16,5,3,5,3,4,4,1,2,2,9,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Blackshard Armour, Close Order, Drilled, Ensorcelled Weapons, Quell Panic, Regimental Unit, Resolute, Shieldwall, Stubborn, Veteran"
sneaky-gits,Sneaky Gits,Chaos Dwarfs,special,Regular Infantry,60,6,10,4,4,4,3,3,1,4,1,5,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Ambushers, Backstab, Evasive, Levies, Move Through Cover, Skirmishers"
kdaai-fireborn,K'daai Fireborn,Chaos Dwarfs,special,Monstrous Infantry,123,41,3,6,4,2,5,4,2,4,3,7,,,,5,Hand Weapon,S,0,,,,,,,,,,yes,yes,,,,,,"Blazing Body, Close Order, Ensorcelled Weapons, Fear, Flaming Attacks, Immune to Psychology, Regeneration (5+), Unbreakable, Unstable, Warp-spawned"
bull-centaur-renders,Bull Centaur Renders,Chaos Dwarfs,special,Monstrous Cavalry,168,56,3,7,4,2,4,5,3,3,2,8,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Armoured Hide (1), Blackshard Armour, Close Order, Ensorcelled Weapons, Fear, First Charge, Impact Hits (D3), Loner, Stampede, Stubborn, Swiftstride"
iron-daemon,Iron Daemon,Chaos Dwarfs,special,Heavy Chariot,275,275,1,5,4,4,3,7,7,2,1,9,,,,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,,"Carriage Hauler, Close Order, Fear, Grinding Wheels, Immune to Psychology, Impact Hits (D6+1), Large Target, Lumbering Destruction, Stomp Attacks (D3+1), Unbreakable"
deathshrieker-rocket-launcher,Deathshrieker Rocket Launcher,Chaos Dwarfs,special,War Machine,120,120,1,,3,3,3,6,3,2,3,9,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Blackshard Armour, Skirmishers"
magma-cannon,Magma Cannon,Chaos Dwarfs,special,War Machine,125,125,1,,3,3,3,6,3,2,3,9,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Blackshard Armour, Skirmishers"
hobgoblin-bolt-thrower,Hobgoblin Bolt Thrower,Chaos Dwarfs,special,War Machine,45,45,1,,3,3,3,4,3,3,2,6,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Levies, Skirmishers"
dreadquake-mortar,Dreadquake Mortar,Chaos Dwarfs,rare,War Machine,165,165,1,,3,3,3,7,4,2,3,9,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Blackshard Armour, Skirmishers"
hellcannon,Hellcannon,Chaos Dwarfs,rare,Behemoth,215,215,1,3,4,3,5,6,5,1,5,4,,,,6,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,WS4 S3 I2 A1,"Armour Bane (1), Caged Fury, Close Order, Ensorcelled Weapons, Immune to Psychology, Impact Hits (D6), Large Target, Monster Handlers, Regeneration (6+), Terror, Unbreakable, Warp-spawned"
chaos-giant,Chaos Giant,Chaos Dwarfs,rare,Behemoth,200,200,1,6,3,1,6,7,6,2,,10,6,,,,Giant's Club,S,0,,,,,,,,,,yes,,,,,,,"Close Order, Giant Attacks, Immune to Psychology, Large Target, Pick Up And..., Stomp Attacks (D6), Terror, Timmm-berrr!, Unbreakable"
daemon-prince-daemons-of-chaos,Daemon Prince,Daemons of Chaos,characters,Monstrous Infantry,210,210,1,6,7,5,6,5,4,7,5,9,6,,5,,Ensorcelled Weapon,S,-1,,,,,,,,,,yes,,,,,,,"Chaos Armour {daemons of chaos}, Daemonic {renegade}, Infernal Favour (2), Lore of Daemons, Stomp Attacks (D3+1)"
bloodthirster,Bloodthirster,Daemons of Chaos,characters,Behemoth,355,355,1,8,10,5,6,6,6,7,6,9,,,5,,Great Axe,S+2,-3,"Armour Bane (2), Monster Slayer, Requires Two Hands, Strike Last",2,,,yes,,,,,yes,,,,,,,"Daemonic, Daemonic Charge, Daemon of Khorne, Fly (10), Furious Charge, Impact Hits (D3), Impetuous, Infernal Favour (2), Large Target, Magic Resistance (-2), Terror"
daemonic-herald-of-khorne,Daemonic Herald of Khorne,Daemons of Chaos,characters,Heavy Infantry,80,80,1,5,7,4,5,4,2,6,3,8,,,5,,Hellblade,S,-1,Cleaving Blow,,yes,,,,,,,yes,,,,,,,"Daemonic, Daemon of Khorne, Furious Charge, Impetuous, Infernal Favour (1), Magic Resistance (-1)"
great-unclean-one,Great Unclean One,Daemons of Chaos,characters,Behemoth,330,330,1,5,6,3,6,7,7,4,5,9,,,5,5,Hand Weapon,S,0,,,,yes,,,,,,yes,,,,,,,"Daemonic, Daemon of Nurgle, Infernal Favour (2), Large Target, Lore of Daemons, Poisoned Attacks, Regeneration (5+), Stomp Attacks (D3+1), Terror"
daemonic-herald-of-nurgle,Daemonic Herald of Nurgle,Daemons of Chaos,characters,Regular Infantry,95,95,1,4,5,5,5,5,2,4,3,8,,,5,6,Plaguesword,S,0,Armour Bane (1),1,,yes,,,,,,yes,,,,,,,"Daemonic {renegade}, Daemon of Nurgle, Infernal Favour (1), Lore of Daemons {renegade}, Poisoned Attacks, Regeneration (6+)"
keeper-of-secrets,Keeper of Secrets,Daemons of Chaos,characters,Behemoth,330,330,1,8,7,6,6,6,6,7,6,9,,,5,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,,"Daemonic, Daemon of Slaanesh, Infernal Favour (2), Large Target, Lore of Daemons, Stomp Attacks (D3), Swiftstride, Terror"
daemonic-herald-of-slaanesh,Daemonic Herald of Slaanesh,Daemons of Chaos,characters,Regular Infantry,85,85,1,6,6,4,4,3,2,6,3,8,,,5,,Piercing Claws,S,-1,"Armour Bane (2), Extra Attacks (+1), Requires Two Hands",2,,,yes,,1,,,yes,,,,,,,"Daemonic, Daemon of Slaanesh, Infernal Favour (1), Lore of Daemons"
lord-of-change,Lord of Change,Daemons of Chaos,characters,Behemoth,310,310,1,6,6,6,6,6,6,6,4,9,,,5,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,,"Daemonic, Daemon of Tzeentch, Flaming Attacks, Fly (9), Infernal Favour (2), Large Target, Lore of Daemons, Stomp Attacks (D3), Swiftstride, Terror"
daemonic-herald-of-tzeentch,Daemonic Herald of Tzeentch,Daemons of Chaos,characters,Regular Infantry,90,90,1,4,3,4,3,3,2,3,2,8,,,5,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,,"Daemonic, Daemon of Tzeentch, Infernal Favour (1), Lore of Daemons {renegade}"
daemonettes-of-slaanesh,Daemonettes of Slaanesh,Daemons of Chaos,core,Regular Infantry,66,11,6,5,4,3,3,3,1,5,1,7,,,5,,Piercing Claws,S,-1,"Armour Bane (2), Extra Attacks (+1), Requires Two Hands",2,,,yes,,1,,,yes,,,,,,,"Close Order, Daemonic, Daemons of Slaanesh"
seekers-of-slaanesh,Seekers of Slaanesh,Daemons of Chaos,core,Light Cavalry,105,21,5,,4,3,3,3,1,5,1,7,,,5,,Piercing Claws,S,-1,"Armour Bane (2), Extra Attacks (+1), Requires Two Hands",2,,yes,yes,,1,,,yes,,,,,,WS3 S3 I5 A1,"Armour Bane (1 - Steed of Slaanesh only), Counter Charge, Daemonic {renegade}, Daemon of Slaanesh, Fast Cavalry, Open Order, Poisoned Attacks (Steed of Slaanesh only), Skirmishers, Swiftstride"
plaguebearers-of-nurgle,Plaguebearers of Nurgle,Daemons of Chaos,core,Regular Infantry,91,13,7,4,3,3,4,4,1,2,1,7,,,5,6,Plaguesword,S,0,Armour Bane (1),1,,yes,,,,,,yes,,,,,,,"Close Order, Daemonic, Daemons of Nurgle, Poisoned Attacks, Regeneration (6+)"
nurglings,Nurglings,Daemons of Chaos,core,Swarm,135,45,3,4,2,0,2,3,7,2,,5,,,5,6,Hand Weapon,S,0,,,,yes,,,,,,yes,,,,,,,"Daemonic, Daemons of Nurgle, Loner, Poisoned Attacks, Random Attacks, Regeneration (6+), Skirmishers"
bloodletters-of-khorne,Bloodletters of Khorne,Daemons of Chaos,core,Heavy Infantry,112,14,8,5,5,3,4,3,1,4,1,7,6,,5,,Hellblade,S,-1,Cleaving Blow,,yes,,,,,,,yes,,,,,,,"Close Order, Daemonic, Daemons of Khorne, Impetuous, Magic Resistance (-1)"
flesh-hounds-of-khorne,Flesh Hounds of Khorne,Daemons of Chaos,core,Heavy Cavalry,160,32,5,8,5,0,4,4,2,4,2,7,6,,5,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,,"Armour Bane (1), Close Order, Counter Charge, Daemonic, Daemons of Khorne, Impetuous, Magic Resistance (-2)"
pink-horrors-of-tzeentch,Pink Horrors of Tzeentch,Daemons of Chaos,core,Regular Infantry,108,12,9,4,3,3,3,3,1,3,1,7,,,5,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,,"Close Order, Daemonic, Daemons of Tzeentch, Scintillating Sorcery"
blue-horrors-of-tzeentch,Blue Horrors of Tzeentch,Daemons of Chaos,core,Regular Infantry,81,9,9,4,2,3,3,3,1,3,1,7,,,5,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,,"Daemonic, Daemons of Tzeentch, Move Through Cover, Open Order"
brimstone-horrors-of-tzeentch,Brimstone Horrors of Tzeentch,Daemons of Chaos,core,Swarm,76,38,2,5,2,2,2,3,6,2,4,5,,,5,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,,"Daemonic {renegade}, Daemons of Tzeentch, Flaming Attacks, Loner, Skirmishers"
chaos-furies,Chaos Furies,Daemons of Chaos,core,Regular Infantry,60,12,5,4,3,0,4,3,1,4,1,5,,,5,,Daemonic Talons,S,-1,,,,,,,,,,yes,,,,,,,"Daemonic, Fly (8), Furious Charge, Skirmishers, Swiftstride, Vanguard"
chaos-furies,Chaos Furies of Slaanesh,Daemons of Chaos,core,Regular Infantry,70,14,5,4,3,0,4,3,1,4,1,5,,,5,,Daemonic Talons,S,-1,,,,,,,,,,yes,,,,,,,"Daemonic, Fly (8), Furious Charge, Skirmishers, Swiftstride, Vanguard, Daemons of Slaanesh"
chaos-furies,Chaos Furies of Nurgle,Daemons of Chaos,core,Regular Infantry,70,14,5,4,3,0,4,3,1,4,1,5,,,5,,Daemonic Talons,S,-1,,,,,,,,,,yes,,,,,,,"Daemonic, Fly (8), Furious Charge, Skirmishers, Swiftstride, Vanguard, Daemons of Nurgle"
chaos-furies,Chaos Furies of Khorne,Daemons of Chaos,core,Regular Infantry,70,14,5,4,3,0,4,3,1,4,1,5,,,5,,Daemonic Talons,S,-1,,,,,,,,,,yes,,,,,,,"Daemonic, Fly (8), Furious Charge, Skirmishers, Swiftstride, Vanguard, Daemons of Khorne"
