unit_name,faction,shared_with,id,points,models,T,W,Sv,InSv,FNP,OC,move,keywords,model_groups,weapon_name,weapon_type,attacks,skill,S,AP,damage,weapon_models,abilities,notes
Bloodletters,Chaos - Chaos Daemons,,4ecc-6aa5-da28-2c57,110,10,4,1,7,5,,2,8.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Hellblade,Melee,2,3,5,-2,2,1,,
Bloodmaster,Chaos - Chaos Daemons,,ccae-b5f1-8787-4c7d,65,1,4,4,5,4,,1,8.0,"CHAOS, CHARACTER, DAEMON, INFANTRY",,Blade of blood,Melee,5,2,6,-2,3,1,,
Bloodthirster,Chaos - Chaos Daemons,,a018-ca33-afd0-be83,320,1,11,18,3,4,,5,12.0,"CHAOS, CHARACTER, DAEMON, FLY, MONSTER",,Hellfire breath,Ranged,D6,2,5,-1,1,1,"Torrent, Ignores Cover",
Bloodthirster,Chaos - Chaos Daemons,,a018-ca33-afd0-be83,320,1,11,18,3,4,,5,12.0,"CHAOS, CHARACTER, DAEMON, FLY, MONSTER",,➤ Great axe of Khorne - strike,Melee,7,2,16,-4,D6+2,1,,
Blue Horrors,Chaos - Chaos Daemons,,b795-b936-ad61-e407,125,10,3,1,7,4,,1,6.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Coruscating Blue flames,Ranged,2,4,3,-1,1,10,,
Blue Horrors,Chaos - Chaos Daemons,,b795-b936-ad61-e407,125,10,3,1,7,4,,1,6.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Blue claws,Melee,1,5,3,0,1,10,,
Blue Horrors,Chaos - Chaos Daemons,,b795-b936-ad61-e407,125,10,3,1,7,4,,1,6.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Coruscating Yellow flames (ref. only),Ranged,2,5,2,-1,1,10,,
Blue Horrors,Chaos - Chaos Daemons,,b795-b936-ad61-e407,125,10,3,1,7,4,,1,6.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Yellow claws (ref. only),Melee,2,5,2,0,1,10,,
Burning Chariot,Chaos - Chaos Daemons,,f6eb-b62f-5baf-d96d,115,1,8,9,7,4,,3,12.0,"CHAOS, DAEMON, FLY, MOUNTED",,Flamer mouths,Melee,6,4,5,0,1,1,,
Burning Chariot,Chaos - Chaos Daemons,,f6eb-b62f-5baf-d96d,115,1,8,9,7,4,,3,12.0,"CHAOS, DAEMON, FLY, MOUNTED",,Screamer bites,Melee,6,3,6,-2,2,1,"Anti-Monster 4+, Anti-Vehicle 4+",
Burning Chariot,Chaos - Chaos Daemons,,f6eb-b62f-5baf-d96d,115,1,8,9,7,4,,3,12.0,"CHAOS, DAEMON, FLY, MOUNTED",,➤ Fires of Tzeentch - blue fire,Ranged,3,3,9,-3,3,1,Ignores Cover,
Changecaster,Chaos - Chaos Daemons,,8b7c-d709-90d4-298e,60,1,3,3,6,4,,1,6.0,"CHAOS, CHARACTER, DAEMON, INFANTRY, PSYKER",,➤ Arcane Fireball - witchfire,Ranged,3,3,5,-1,D3,1,,
Changecaster,Chaos - Chaos Daemons,,8b7c-d709-90d4-298e,60,1,3,3,6,4,,1,6.0,"CHAOS, CHARACTER, DAEMON, INFANTRY, PSYKER",,Herald combat weapon,Melee,3,4,4,-1,1,1,,
Chaos Lord,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,e496-5a54-4cb2-4fc1,90,1,4,5,3,4,,1,6.0,"CHAOS, CHARACTER, INFANTRY",,Daemon hammer,Melee,5,3,8,-2,2,1,Devastating Wounds,
Chaos Lord,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,e496-5a54-4cb2-4fc1,90,1,4,5,3,4,,1,6.0,"CHAOS, CHARACTER, INFANTRY",,Power fist,Melee,5,2,8,-2,2,1,,
Chaos Lord in Terminator Armour,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,b206-250d-84aa-fc42,85,1,5,6,2,4,,1,5.0,"CHAOS, CHARACTER, INFANTRY",,Combi-bolter,Ranged,2,2,4,0,1,1,Rapid Fire 2,
Chaos Lord in Terminator Armour,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,b206-250d-84aa-fc42,85,1,5,6,2,4,,1,5.0,"CHAOS, CHARACTER, INFANTRY",,Exalted weapon,Melee,6,2,5,-2,2,1,,
Chaos Lord with Jump Pack,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,d880-9968-2ed9-5a21,80,1,4,5,3,4,,1,12.0,"CHAOS, CHARACTER, FLY, INFANTRY",,Accursed weapon,Melee,6,2,5,-2,1,1,,
Chaos Lord with Jump Pack,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,d880-9968-2ed9-5a21,80,1,4,5,3,4,,1,12.0,"CHAOS, CHARACTER, FLY, INFANTRY",,➤ Plasma pistol - standard,Ranged,1,2,7,-2,1,1,,
Chaos Terminator Squad,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,203d-c50f-a438-4982,175,5,5,3,2,4,,1,5.0,"CHAOS, INFANTRY",,Combi-bolter,Ranged,2,3,4,0,1,4,Rapid Fire 2,
Chaos Terminator Squad,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,203d-c50f-a438-4982,175,5,5,3,2,4,,1,5.0,"CHAOS, INFANTRY",,Accursed weapon,Melee,4,3,5,-2,1,4,,
Chaos Terminator Squad,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,203d-c50f-a438-4982,175,5,5,3,2,4,,1,5.0,"CHAOS, INFANTRY",,Accursed weapon,Melee,4,3,5,-2,1,1,,
Chaos Terminator Squad,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,203d-c50f-a438-4982,175,5,5,3,2,4,,1,5.0,"CHAOS, INFANTRY",,Combi-bolter,Ranged,2,3,4,0,1,1,Rapid Fire 2,
Chosen,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,4e85-615b-5d49-dfa4,135,5,4,3,3,,,1,6.0,"CHAOS, INFANTRY",,Bolt pistol,Ranged,1,3,4,0,1,4,,
Chosen,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,4e85-615b-5d49-dfa4,135,5,4,3,3,,,1,6.0,"CHAOS, INFANTRY",,Boltgun,Ranged,2,3,4,0,1,4,,
Chosen,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,4e85-615b-5d49-dfa4,135,5,4,3,3,,,1,6.0,"CHAOS, INFANTRY",,Accursed weapon,Melee,4,3,5,-2,1,4,,
Chosen,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,4e85-615b-5d49-dfa4,135,5,4,3,3,,,1,6.0,"CHAOS, INFANTRY",,Bolt pistol,Ranged,1,3,4,0,1,1,,
Chosen,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,4e85-615b-5d49-dfa4,135,5,4,3,3,,,1,6.0,"CHAOS, INFANTRY",,Boltgun,Ranged,2,3,4,0,1,1,,
Chosen,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,4e85-615b-5d49-dfa4,135,5,4,3,3,,,1,6.0,"CHAOS, INFANTRY",,Accursed weapon,Melee,4,3,5,-2,1,1,,
Contorted Epitome,Chaos - Chaos Daemons,,36df-8f40-8a6b-7d4c,115,1,6,8,5,4,,2,9.0,"CHAOS, CHARACTER, INFANTRY, PSYKER",,Coiled tentacles,Melee,D6,4,5,-1,2,1,,
Contorted Epitome,Chaos - Chaos Daemons,,36df-8f40-8a6b-7d4c,115,1,6,8,5,4,,2,9.0,"CHAOS, CHARACTER, INFANTRY, PSYKER",,Ravaging claws,Melee,8,2,4,-1,1,1,Devastating Wounds,
Cultist Firebrand,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",cb66-af7-2cca-1c85,45,1,4,4,4,,,1,6.0,"CHAOS, CHARACTER, INFANTRY",,Balefire pike,Ranged,D6+3,2,5,-1,1,1,"Torrent, Ignores Cover",
Cultist Firebrand,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",cb66-af7-2cca-1c85,45,1,4,4,4,,,1,6.0,"CHAOS, CHARACTER, INFANTRY",,Close combat weapon,Melee,4,4,4,0,1,1,,
Cultist Mob,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1267-78f1-7774-859,50,10,3,1,6,,,1,6.0,"BATTLELINE, CHAOS, INFANTRY",,Brutal assault weapon,Melee,2,4,3,0,1,1,,
Cultist Mob,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1267-78f1-7774-859,50,10,3,1,6,,,1,6.0,"BATTLELINE, CHAOS, INFANTRY",,Autopistol,Ranged,1,4,3,0,1,1,,
Cultist Mob,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1267-78f1-7774-859,50,10,3,1,6,,,1,6.0,"BATTLELINE, CHAOS, INFANTRY",,Autopistol,Ranged,1,4,3,0,1,9,,
Cultist Mob,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1267-78f1-7774-859,50,10,3,1,6,,,1,6.0,"BATTLELINE, CHAOS, INFANTRY",,Brutal assault weapon,Melee,2,4,3,0,1,9,,
Daemon Prince of Chaos,Chaos - Chaos Daemons,,497d-e065-f5a5-5e80,165,1,10,10,2,4,,3,8.0,"CHAOS, CHARACTER, DAEMON, MONSTER",,➤ Hellforged weapons - strike,Melee,6,2,8,-2,3,1,,
Daemon Prince of Chaos,Chaos - Chaos Daemons,,497d-e065-f5a5-5e80,165,1,10,10,2,4,,3,8.0,"CHAOS, CHARACTER, DAEMON, MONSTER",,Infernal cannon,Ranged,3,2,5,-1,2,1,,
Daemon Prince of Chaos with wings,Chaos - Chaos Daemons,,5800-3978-370d-b573,190,1,9,10,2,4,,3,12.0,"CHAOS, CHARACTER, DAEMON, FLY, MONSTER",,➤ Hellforged weapons - strike,Melee,6,2,8,-2,3,1,,
Daemon Prince of Chaos with wings,Chaos - Chaos Daemons,,5800-3978-370d-b573,190,1,9,10,2,4,,3,12.0,"CHAOS, CHARACTER, DAEMON, FLY, MONSTER",,Infernal cannon,Ranged,3,2,5,-1,2,1,,
Daemonettes,Chaos - Chaos Daemons,,41c2-d2e6-ae43-3beb,100,10,3,1,7,5,,2,9.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Slashing claws,Melee,3,3,4,-1,1,1,Devastating Wounds,
Daemonettes,Chaos - Chaos Daemons,,41c2-d2e6-ae43-3beb,100,10,3,1,7,5,,2,9.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Slashing claws,Melee,3,3,4,-1,1,9,Devastating Wounds,
Dark Apostle,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,d2b8-454a-d061-b592,65,3,4,1,6,4,,1,6.0,"CHAOS, CHARACTER, INFANTRY",1x T4 W4 Sv3+ Inv4+ char | 2x T4 W1 Sv6+ Inv4+,Accursed crozius,Melee,5,2,6,-1,2,1,,
Dark Apostle,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,d2b8-454a-d061-b592,65,3,4,1,6,4,,1,6.0,"CHAOS, CHARACTER, INFANTRY",1x T4 W4 Sv3+ Inv4+ char | 2x T4 W1 Sv6+ Inv4+,Bolt pistol,Ranged,1,3,4,0,1,1,,
Dark Apostle,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,d2b8-454a-d061-b592,65,3,4,1,6,4,,1,6.0,"CHAOS, CHARACTER, INFANTRY",1x T4 W4 Sv3+ Inv4+ char | 2x T4 W1 Sv6+ Inv4+,Close combat weapon,Melee,1,4,3,0,1,2,,
Dark Commune,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1780-25b8-ce0b-898d,90,5,3,1,6,,,1,6.0,"CHAOS, CHARACTER, INFANTRY",2x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W4 Sv6+ char,Commune blade,Melee,2,4,4,-2,1,2,,
Dark Commune,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1780-25b8-ce0b-898d,90,5,3,1,6,,,1,6.0,"CHAOS, CHARACTER, INFANTRY",2x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W4 Sv6+ char,Autopistol,Ranged,1,4,3,0,1,1,,
Dark Commune,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1780-25b8-ce0b-898d,90,5,3,1,6,,,1,6.0,"CHAOS, CHARACTER, INFANTRY",2x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W4 Sv6+ char,Close combat weapon,Melee,1,4,3,0,1,1,,
Dark Commune,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1780-25b8-ce0b-898d,90,5,3,1,6,,,1,6.0,"CHAOS, CHARACTER, INFANTRY",2x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W4 Sv6+ char,Close combat weapon,Melee,1,4,3,0,1,1,,
Dark Commune,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1780-25b8-ce0b-898d,90,5,3,1,6,,,1,6.0,"CHAOS, CHARACTER, INFANTRY",2x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W4 Sv6+ char,➤ Warp Curse - witchfire,Ranged,3,3,4,-1,2,1,,
Dark Commune,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1780-25b8-ce0b-898d,90,5,3,1,6,,,1,6.0,"CHAOS, CHARACTER, INFANTRY",2x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W4 Sv6+ char,Autopistol,Ranged,1,4,3,0,1,1,,
Dark Commune,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",1780-25b8-ce0b-898d,90,5,3,1,6,,,1,6.0,"CHAOS, CHARACTER, INFANTRY",2x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W1 Sv6+ | 1x T3 W4 Sv6+ char,Commune stave,Melee,2,4,3,0,D3,1,Devastating Wounds,
Epidemius,Chaos - Chaos Daemons,,5851-dc90-9afe-76a7,80,1,5,8,6,5,,2,5.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, INFANTRY",,Balesword and nurgling attendants,Melee,D6+3,3,5,-2,2,1,Lethal Hits,
Exalted Flamer,Chaos - Chaos Daemons,,de54-5b38-8ca1-c39c,65,1,4,6,7,4,,1,9.0,"CHAOS, CHARACTER, DAEMON, FLY, INFANTRY",,Flamer mouths,Melee,4,4,5,0,1,1,,
Exalted Flamer,Chaos - Chaos Daemons,,de54-5b38-8ca1-c39c,65,1,4,6,7,4,,1,9.0,"CHAOS, CHARACTER, DAEMON, FLY, INFANTRY",,➤ Fires of Tzeentch - blue fire,Ranged,3,3,9,-3,3,1,Ignores Cover,
Fateskimmer,Chaos - Chaos Daemons,,c199-b27c-7cc2-7935,95,1,7,9,6,4,,3,12.0,"CHAOS, CHARACTER, DAEMON, FLY, MOUNTED, PSYKER",,Screamer bites,Melee,6,3,6,-2,2,1,"Anti-Monster 4+, Anti-Vehicle 4+",
Fateskimmer,Chaos - Chaos Daemons,,c199-b27c-7cc2-7935,95,1,7,9,6,4,,3,12.0,"CHAOS, CHARACTER, DAEMON, FLY, MOUNTED, PSYKER",,➤ Arcane Fireball - witchfire,Ranged,3,3,5,-1,D3,1,,
Fateskimmer,Chaos - Chaos Daemons,,c199-b27c-7cc2-7935,95,1,7,9,6,4,,3,12.0,"CHAOS, CHARACTER, DAEMON, FLY, MOUNTED, PSYKER",,Herald combat weapon,Melee,3,4,4,-1,1,1,,
Fellgor Beastmen,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",6bf7-888c-7aa6-6831,60,10,4,1,5,,,1,6.0,"CHAOS, INFANTRY",,Chainsword,Melee,3,4,4,0,1,1,,
Fellgor Beastmen,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",6bf7-888c-7aa6-6831,60,10,4,1,5,,,1,6.0,"CHAOS, INFANTRY",,Bolt pistol,Ranged,1,4,4,0,1,1,,
Fellgor Beastmen,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",6bf7-888c-7aa6-6831,60,10,4,1,5,,,1,6.0,"CHAOS, INFANTRY",,Autopistol,Ranged,1,4,3,0,1,9,,
Fellgor Beastmen,Chaos - Chaos Space Marines,"Chaos - Chaos Daemons, Chaos - Chaos Knights",6bf7-888c-7aa6-6831,60,10,4,1,5,,,1,6.0,"CHAOS, INFANTRY",,Close combat weapon,Melee,2,4,4,0,1,9,,
Fiends,Chaos - Chaos Daemons,,d1ee-8d05-4fae-1727,90,3,5,4,7,5,,2,12.0,"BEAST, CHAOS, DAEMON",,Barbed tail and dissecting claws,Melee,5,3,5,-2,2,3,Devastating Wounds,
Flamers,Chaos - Chaos Daemons,,5f23-4d6-f2f9-5973,65,3,4,3,7,4,,1,9.0,"CHAOS, DAEMON, FLY, INFANTRY",,Flickering Flames,Ranged,D6,2,4,-1,1,2,"Torrent, Ignores Cover",
Flamers,Chaos - Chaos Daemons,,5f23-4d6-f2f9-5973,65,3,4,3,7,4,,1,9.0,"CHAOS, DAEMON, FLY, INFANTRY",,Flamer mouths,Melee,3,4,4,0,1,2,,
Flamers,Chaos - Chaos Daemons,,5f23-4d6-f2f9-5973,65,3,4,3,7,4,,1,9.0,"CHAOS, DAEMON, FLY, INFANTRY",,Flamer mouths,Melee,3,4,4,0,1,1,,
Flamers,Chaos - Chaos Daemons,,5f23-4d6-f2f9-5973,65,3,4,3,7,4,,1,9.0,"CHAOS, DAEMON, FLY, INFANTRY",,Flickering Flames,Ranged,D6,2,4,-1,1,1,"Torrent, Ignores Cover",
Flesh Hounds,Chaos - Chaos Daemons,,fd31-64a2-b20f-f0bc,75,5,4,2,7,5,,1,12.0,"BEAST, CHAOS, DAEMON",,Gore-drenched fangs,Melee,3,3,5,-1,1,4,,
Flesh Hounds,Chaos - Chaos Daemons,,fd31-64a2-b20f-f0bc,75,5,4,2,7,5,,1,12.0,"BEAST, CHAOS, DAEMON",,Burning roar,Ranged,D6,2,4,0,1,1,"Torrent, Ignores Cover",
Flesh Hounds,Chaos - Chaos Daemons,,fd31-64a2-b20f-f0bc,75,5,4,2,7,5,,1,12.0,"BEAST, CHAOS, DAEMON",,Gore-drenched fangs,Melee,3,3,5,-1,1,1,,
Fluxmaster,Chaos - Chaos Daemons,,eba5-8a7a-fc5b-d7ec,70,1,4,4,6,4,,1,12.0,"CHAOS, CHARACTER, DAEMON, FLY, MOUNTED, PSYKER",,➤ Arcane Fireball - witchfire,Ranged,3,3,5,-1,D3,1,,
Fluxmaster,Chaos - Chaos Daemons,,eba5-8a7a-fc5b-d7ec,70,1,4,4,6,4,,1,12.0,"CHAOS, CHARACTER, DAEMON, FLY, MOUNTED, PSYKER",,Herald combat weapon,Melee,3,4,4,-1,1,1,,
Great Unclean One,Chaos - Chaos Daemons,,d490-6c4d-e83b-b183,265,1,12,20,5,4,,5,7.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,Putrid vomit,Ranged,D6+3,2,5,-2,1,1,"Torrent, Ignores Cover",
Great Unclean One,Chaos - Chaos Daemons,,d490-6c4d-e83b-b183,265,1,12,20,5,4,,5,7.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,➤ Bilesword - strike,Melee,6,2,10,-2,D6+1,1,Lethal Hits,
Great Unclean One,Chaos - Chaos Daemons,,d490-6c4d-e83b-b183,265,1,12,20,5,4,,5,7.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,Plague flail,Ranged,D6+1,3,7,-2,2,1,,
Havocs,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,946c-d784-c8be-f21,125,5,5,2,3,,,1,5.0,"CHAOS, INFANTRY",,Accursed weapon,Melee,4,3,5,-2,1,1,,
Havocs,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,946c-d784-c8be-f21,125,5,5,2,3,,,1,5.0,"CHAOS, INFANTRY",,Flamer,Ranged,D6,2,4,0,1,1,"Torrent, Ignores Cover",
Havocs,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,946c-d784-c8be-f21,125,5,5,2,3,,,1,5.0,"CHAOS, INFANTRY",,Havoc autocannon,Ranged,2,3,9,-1,3,4,,
Havocs,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,946c-d784-c8be-f21,125,5,5,2,3,,,1,5.0,"CHAOS, INFANTRY",,Close combat weapon,Melee,3,3,4,0,1,4,,
Horticulous Slimux,Chaos - Chaos Daemons,,7151-238f-a6eb-2f94,120,1,10,10,3,4,,2,6.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, MOUNTED",,Acidic maw,Melee,2,4,7,-4,3,1,Devastating Wounds,
Horticulous Slimux,Chaos - Chaos Daemons,,7151-238f-a6eb-2f94,120,1,10,10,3,4,,2,6.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, MOUNTED",,Lopping shears,Melee,4,3,6,-2,3,1,Lethal Hits,
Infernal Enrapturess,Chaos - Chaos Daemons,,2cc5-ef65-c4b9-28c6,60,1,3,3,7,5,,1,9.0,"CHAOS, CHARACTER, DAEMON, INFANTRY",,➤ Heartstring lyre - cacophonous melody,Ranged,6,3,6,0,1,1,,
Infernal Enrapturess,Chaos - Chaos Daemons,,2cc5-ef65-c4b9-28c6,60,1,3,3,7,5,,1,9.0,"CHAOS, CHARACTER, DAEMON, INFANTRY",,Ravaging claws,Melee,5,2,4,-1,1,1,Devastating Wounds,
Kairos Fateweaver,Chaos - Chaos Daemons,,6df5-f246-6bd-55b8,305,1,10,20,6,4,,5,12.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, FLY, MONSTER, PSYKER",,Staff of Tomorrow,Melee,5,3,8,-2,2D3,1,,
Kairos Fateweaver,Chaos - Chaos Daemons,,6df5-f246-6bd-55b8,305,1,10,20,6,4,,5,12.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, FLY, MONSTER, PSYKER",,➤ Infernal Gateway - witchfire,Ranged,D6+3,2,9,-2,D3,1,Blast,
Karanak,Chaos - Chaos Daemons,,8436-cec1-e65a-d1a7,70,1,4,5,7,4,,3,12.0,"BEAST, CHAOS, CHARACTER, DAEMON, EPIC HERO",,Soul-rending fangs,Melee,6,2,6,-2,2,1,Anti-Character 3+,
Karanak,Chaos - Chaos Daemons,,8436-cec1-e65a-d1a7,70,1,4,5,7,4,,3,12.0,"BEAST, CHAOS, CHARACTER, DAEMON, EPIC HERO",,Scalding Roar,Ranged,D6+3,2,5,-1,1,1,"Torrent, Ignores Cover",
Keeper of Secrets,Chaos - Chaos Daemons,,a903-dd97-339d-6899,265,1,10,18,5,4,,5,14.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,➤ Phantasmagoria - witchfire,Ranged,6,2,6,-2,1,1,Devastating Wounds,
Keeper of Secrets,Chaos - Chaos Daemons,,a903-dd97-339d-6899,265,1,10,18,5,4,,5,14.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,Snapping claws,Melee,4,2,6,-2,3,1,Devastating Wounds,
Keeper of Secrets,Chaos - Chaos Daemons,,a903-dd97-339d-6899,265,1,10,18,5,4,,5,14.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,Witstealer sword,Melee,6,2,8,-2,3,1,,
Khorne Soul Grinder,Chaos - Chaos Daemons,,8e9f-aa9-17f5-e2d3,180,1,11,14,3,4,,5,8.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Torrent of burning blood,Ranged,2D6,2,5,-1,1,1,"Torrent, Ignores Cover",
Khorne Soul Grinder,Chaos - Chaos Daemons,,8e9f-aa9-17f5-e2d3,180,1,11,14,3,4,,5,8.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Harvester cannon,Ranged,3,3,10,-1,3,1,,
Khorne Soul Grinder,Chaos - Chaos Daemons,,8e9f-aa9-17f5-e2d3,180,1,11,14,3,4,,5,8.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Iron claw,Melee,5,3,16,-3,D6+2,1,,
Legionaries,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,615-e6bf-cfd2-9384,90,5,4,2,3,,,2,6.0,"BATTLELINE, CHAOS, INFANTRY",,Close combat weapon,Melee,3,3,4,0,1,1,,
Legionaries,Chaos - Chaos Space Marines,Chaos - Chaos Daemons,615-e6bf-cfd2-9384,90,5,4,2,3,,,2,6.0,"BATTLELINE, CHAOS, INFANTRY",,Accursed weapon,Melee,4,3,5,-2,1,1,,
